,Year,District,Province,Spare,Length,Width,Amenities,Direction,Price
145,2022,4,1,232.0,27.95180722891566,8.3,0,0,5900.0
146,2022,276,1,60.0,12.0,5.0,1,0,1020.0
147,2022,276,1,494.0,48.0,10.0,1,0,7400.0
148,2022,276,1,390.0,48.0,8.0,1,0,5380.0
149,2022,6,1,150.0,21.428571428571427,7.0,0,0,42000.0
150,2022,17,1,51.0,12.0,4.0,0,0,1530.0
151,2022,17,1,46.0,11.0,4.0,0,0,1790.0
152,2022,16,1,68.0,17.0,4.0,0,0,1020.0
153,2022,274,1,110.0,22.0,5.0,0,0,4000.0
154,2022,279,1,39.5,7.9,5.0,1,0,270.0
155,2022,2,1,1000.0,40.0,25.0,1,0,400.0
156,2022,282,1,132.0,22.0,6.0,1,0,900.0
157,2022,250,1,80.0,20.0,4.0,0,0,6560.0
158,2022,4,1,73.0,10.5,7.0,0,0,4560.0
159,2022,19,1,48.0,12.0,4.0,0,0,6100.0
160,2022,17,1,64.0,12.0,5.5,0,0,1350.0
161,2022,17,1,64.0,12.0,5.5,0,0,1350.0
162,2022,20,1,68.0,16.0,4.1,0,0,6700.0
163,2022,3,1,73.0,18.25,4.0,0,0,6800.0
164,2022,282,1,132.0,22.0,6.0,1,0,900.0
165,2022,17,1,104.0,5.0,21.0,1,2,7250.0
166,2022,16,1,71.0,14.0,4.5,0,0,1100.0
167,2022,20,1,96.0,17.0,5.6,0,0,11600.0
168,2022,17,1,86.0,14.0,5.0,0,0,4000.0
169,2022,17,1,70.0,14.0,5.0,0,0,2000.0
170,2022,17,1,48.0,13.0,4.0,0,0,1000.0
171,2022,250,1,81.0,18.0,4.5,0,2,6400.0
172,2022,3,1,56.0,14.0,4.0,0,0,5900.0
173,2022,268,1,50.0,12.5,4.0,0,0,6500.0
174,2022,21,1,38.0,10.0,3.8,0,0,3400.0
175,2022,276,1,112.0,22.0,5.0,0,0,5600.0
176,2022,276,1,123.0,22.0,5.0,0,0,3900.0
177,2022,276,1,123.0,22.0,5.0,0,0,3900.0
178,2022,18,1,50.0,10.0,5.0,0,0,2450.0
179,2022,17,1,51.0,13.0,4.0,0,0,1900.0
180,2022,18,1,80.0,10.0,8.0,0,0,4280.0
181,2022,1,1,105.0,21.0,5.0,0,0,1400.0
182,2022,17,1,112.0,21.0,5.0,0,0,3360.0
183,2022,3,1,59.0,13.2,4.5,0,0,5300.0
184,2022,17,1,55.0,11.0,5.0,0,0,3000.0
185,2022,17,1,43.0,10.0,4.2,0,0,2100.0
186,2022,17,1,76.0,15.0,5.0,0,0,4000.0
187,2022,4,1,248.0,21.0,12.0,0,0,22000.0
188,2022,5,1,132.0,22.0,6.0,1,2,900.0
189,2022,250,1,80.0,16.0,5.0,0,2,1480.0
190,2022,20,1,66.0,16.5,4.0,0,0,1980.0
191,2022,250,1,58.0,14.0,4.0,0,0,1450.0
192,2022,268,1,40.0,11.0,3.6,0,0,3250.0
193,2022,18,1,45.0,9.0,5.0,0,0,2320.0
194,2022,18,1,43.0,8.6,5.0,0,0,1750.0
195,2022,277,1,60.0,12.0,5.0,1,0,820.0
196,2022,4,1,43.0,11.0,4.0,0,0,2800.0
197,2022,4,1,52.0,12.4,4.2,0,0,8500.0
198,2022,282,1,500.0,50.0,10.0,0,0,4000.0
199,2022,21,1,54.0,16.0,3.0,1,0,2160.0
200,2022,271,1,727.0,30.0,24.0,1,0,3300.0
201,2022,1,1,40.0,10.0,4.0,1,0,5300.0
202,2022,4,1,50.0,10.0,5.0,1,0,5500.0
203,2022,17,1,39.0,10.0,4.0,0,0,1700.0
204,2022,9,1,46.0,12.0,4.2,0,0,5200.0
205,2022,274,1,90.0,18.0,4.99,1,2,7000.0
206,2022,17,1,61.0,15.0,4.0,0,0,2300.0
207,2022,4,1,94.0,18.4,5.1,0,0,6000.0
208,2022,1,1,125.0,28.0,4.5,0,0,21000.0
209,2022,17,1,114.0,5.7,20.0,0,0,3950.0
210,2022,4,1,140.0,19.178082191780824,7.3,0,0,7100.0
211,2022,17,1,42.0,10.0,4.0,0,0,1410.0
212,2022,282,1,132.0,6.0,22.0,0,0,900.0
213,2022,20,1,43.0,9.347826086956523,4.6,0,0,3050.0
214,2022,20,1,62.0,15.0,41.0,0,0,6700.0
215,2022,250,1,153.0,16.0,10.0,0,4,2910.0
216,2022,17,1,41.0,10.25,4.0,0,0,2400.0
217,2022,4,1,39.0,8.478260869565219,4.6,1,0,2520.0
218,2022,18,1,55.0,12.222222222222221,4.5,1,0,3930.0
219,2022,16,1,70.0,14.0,5.0,0,0,1700.0
220,2022,250,1,132.0,6.0,22.0,1,0,900.0
221,2022,275,1,2658.0,80.0,25.0,0,0,14620.0
222,2022,276,1,136.0,28.0,5.0,0,0,2000.0
223,2022,20,1,45.0,9.2,4.8,0,0,2900.0
224,2022,274,1,300.0,60.0,5.0,0,0,5200.0
225,2022,275,1,316.0,33.0,10.0,0,0,2200.0
226,2022,18,1,35.0,7.0,5.0,0,0,1900.0
227,2022,276,1,90.0,18.0,5.0,0,0,2100.0
228,2022,276,1,283.0,28.0,10.0,0,0,5800.0
229,2022,276,1,90.0,18.0,5.0,0,0,2100.0
230,2022,276,1,283.0,28.0,10.0,0,0,5800.0
231,2022,250,1,100.0,20.0,5.0,0,0,3400.0
232,2022,5,1,60.0,15.0,4.0,0,0,13250.0
233,2022,8,1,133.2,26.639999999999997,5.0,1,0,6270.0
234,2022,276,1,114.0,21.0,5.0,0,0,1990.0
235,2022,276,1,147.0,22.0,6.0,0,0,3500.0
236,2022,276,1,147.0,22.0,6.0,0,0,3500.0
237,2022,17,1,54.0,14.0,4.0,0,0,2080.0
238,2022,17,1,59.0,15.0,4.0,0,0,2250.0
239,2022,276,1,86.0,12.0,7.0,1,0,1720.0
240,2022,250,1,100.0,20.0,5.0,0,0,3400.0
241,2022,17,1,60.0,16.666666666666668,3.6,1,4,1860.0
242,2022,269,1,60.0,12.0,5.0,1,0,930.0
243,2022,4,1,73.0,18.0,4.0,1,0,1750.0
244,2022,276,1,828.0,25.0,40.0,1,0,3480.0
245,2022,21,1,38.5,4.0,9.92,1,2,2500.0
246,2022,5,1,79.0,15.8,5.0,0,0,17000.0
247,2022,276,1,200.0,25.0,8.0,0,0,5900.0
248,2022,16,1,58.0,14.0,4.0,0,0,670.0
249,2022,20,1,46.0,11.0,4.0,0,0,3150.0
250,2022,276,1,156.0,20.0,8.0,0,0,4300.0
251,2022,1,1,88.0,17.6,5.0,0,0,25000.0
252,2022,16,1,65.0,13.0,5.0,0,0,1180.0
253,2022,274,1,30.6,4.0,7.6,1,4,1300.0
254,2022,276,1,200.0,25.0,8.0,0,0,5900.0
255,2022,276,1,390.0,45.0,8.95,1,0,5380.0
256,2022,276,1,390.0,46.0,10.0,1,0,5380.0
257,2022,17,1,69.0,16.0,4.2,0,0,1930.0
258,2022,18,1,102.0,20.4,5.0,0,0,4380.0
259,2022,5,1,270.0,13.5,20.0,0,0,14650.0
260,2022,5,1,270.0,13.5,20.0,0,0,14650.0
261,2022,276,1,90.0,16.0,5.0,0,0,2100.0
262,2022,17,1,190.0,17.0,11.0,0,0,9690.0
263,2022,17,1,168.0,12.0,14.0,0,0,5000.0
264,2022,17,1,60.0,12.0,5.0,0,0,2500.0
265,2022,17,1,55.0,12.0,4.5,0,0,1950.0
266,2022,16,1,65.0,13.0,5.0,0,0,1030.0
267,2022,17,1,35.0,11.0,4.0,0,0,1800.0
268,2022,17,1,46.0,11.0,4.0,0,0,1400.0
269,2022,17,1,40.0,10.0,4.0,0,0,1600.0
270,2022,17,1,74.0,15.0,5.0,0,0,2590.0
271,2022,5,1,250.0,25.0,10.0,0,0,200.0
272,2022,274,1,250.0,50.0,5.0,0,0,12250.0
273,2022,17,1,42.0,8.4,5.0,1,2,1830.0
274,2022,17,1,83.0,20.77,4.0,1,3,3400.0
275,2022,17,1,71.0,19.5,3.7,1,3,2250.0
276,2022,16,1,500.0,30.0,20.0,0,0,1700.0
277,2022,17,1,100.0,20.0,5.0,0,0,2290.0
278,2022,16,1,100.0,20.0,5.0,0,0,4100.0
279,2022,274,1,425.0,85.0,5.0,0,0,14200.0
280,2022,17,1,86.0,16.0,5.22,0,0,4700.0
281,2022,276,1,180.0,30.0,6.0,0,0,6660.0
282,2022,277,1,60.0,12.0,5.0,1,0,820.0
283,2022,17,1,56.0,8.6,6.32,0,0,1750.0
284,2022,17,1,42.0,7.9,5.35,0,0,1900.0
285,2022,8,1,104.0,20.8,5.0,0,0,1390.0
286,2022,277,1,367.0,73.4,5.0,0,0,2200.0
287,2022,282,1,500.0,50.0,10.0,0,0,4000.0
288,2022,21,1,54.0,16.0,3.0,1,0,2160.0
289,2022,271,1,727.0,30.0,24.0,1,0,3300.0
290,2022,4,1,175.0,28.2,6.2,0,0,19600.0
291,2022,1,1,40.0,10.0,4.0,1,0,5300.0
292,2022,18,1,40.0,8.0,5.0,1,0,3100.0
293,2022,282,1,132.0,22.0,6.0,1,0,900.0
294,2022,17,1,86.0,16.0,5.22,0,0,4700.0
295,2022,17,1,168.0,14.0,12.0,1,2,5700.0
296,2022,274,1,250.0,50.0,5.0,0,0,14220.0
297,2022,276,1,1342.0,44.0,22.0,1,0,6710.0
298,2022,6,1,35.0,5.0,7.0,0,0,7000.0
299,2022,17,1,72.0,16.0,5.0,0,0,3440.0
300,2022,16,1,72.0,16.0,4.5,0,0,1300.0
301,2022,274,1,222.0,44.4,5.0,0,0,7850.0
302,2022,274,1,222.0,44.4,5.0,0,0,785.0
303,2022,9,1,70.0,17.0,4.0,0,0,4200.0
304,2022,268,1,102.0,17.0,6.0,0,0,2580.0
305,2022,4,1,65.0,16.3,4.0,0,0,5000.0
306,2022,17,1,43.0,10.8,4.0,1,3,1470.0
307,2022,9,1,48.0,9.3,5.0,0,0,4850.0
308,2022,1,1,197.0,24.0,8.0,0,0,31000.0
309,2022,268,1,60.0,12.0,5.0,0,0,5800.0
310,2022,1,1,328.0,32.8,10.0,0,0,3940.0
311,2022,274,1,96.0,19.2,5.0,0,0,6000.0
312,2022,4,1,75.0,14.0,6.0,0,0,7500.0
313,2022,17,1,60.0,12.0,5.0,1,2,2700.0
314,2022,274,1,130.0,26.0,5.0,0,0,8500.0
315,2022,274,1,100.0,20.0,5.0,0,0,6000.0
316,2022,274,1,100.0,20.0,5.0,0,0,6000.0
317,2022,17,1,58.0,4.3,13.5,1,3,2000.0
318,2022,277,1,10000.0,100.0,100.0,0,0,3000.0
319,2022,250,1,132.0,22.0,6.0,1,0,900.0
320,2022,21,1,50.0,12.0,4.2,0,0,5000.0
321,2022,18,1,231.0,46.2,5.0,0,0,14000.0
322,2022,4,1,85.0,20.3,4.5,0,0,6000.0
323,2022,9,1,45.0,10.9,4.7,0,0,6600.0
324,2022,19,1,31.0,96.0,6.4,0,0,3100.0
325,2022,274,1,129.0,25.8,5.0,0,0,8350.0
326,2022,4,1,60.0,9.7,6.2,0,0,8500.0
327,2022,21,1,130.0,23.0,5.5,0,0,16950.0
328,2022,21,1,129.0,24.0,5.5,0,0,16950.0
329,2022,19,1,129.0,24.0,5.5,0,0,16950.0
330,2022,4,1,100.0,25.0,4.0,0,0,16000.0
331,2022,16,1,90.0,18.0,5.0,0,0,1490.0
332,2022,274,1,129.0,25.8,5.0,0,0,8350.0
333,2022,16,1,125.0,19.0,5.8,0,0,1440.0
334,2022,276,1,75.0,11.6,5.3,1,2,1300.0
335,2022,278,1,67.0,10.0,6.7,0,0,200.0
336,2022,276,1,80.0,10.7,7.5,0,0,1000.0
337,2022,17,1,55.0,14.0,3.8,1,1,2860.0
338,2022,271,1,1440.0,56.0,27.0,0,0,5100.0
339,2022,19,1,52.0,13.0,4.0,0,0,6500.0
340,2022,17,1,44.0,11.5,3.8,0,0,860.0
341,2022,269,1,70.0,12.0,6.0,0,0,490.0
342,2022,21,1,120.0,15.0,8.0,0,0,7900.0
343,2022,1,1,35.0,7.0,5.0,0,0,6500.0
344,2022,4,1,120.0,24.0,5.0,0,0,17400.0
345,2022,8,1,80.0,16.0,5.0,0,0,11500.0
346,2022,9,1,52.0,8.8,6.0,0,0,12500.0
347,2022,20,1,35.0,7.0,5.0,0,0,935.0
348,2022,4,1,72.0,12.0,6.0,0,0,7200.0
349,2022,268,1,50.0,10.0,5.0,0,0,5200.0
350,2022,4,1,212.0,23.0,9.0,0,0,57000.0
351,2022,17,1,54.0,11.0,5.0,0,0,1610.0
352,2022,4,1,37.0,9.3,4.0,1,0,3150.0
353,2022,18,1,80.0,16.0,5.0,1,0,3200.0
354,2022,274,1,425.0,25.0,17.0,0,0,14250.0
355,2022,9,1,50.0,13.5,3.7,0,0,7900.0
356,2022,268,1,50.0,11.9,4.2,0,0,7300.0
357,2022,271,1,1440.0,56.0,27.0,0,0,5100.0
358,2022,17,1,52.0,12.0,4.0,0,0,1850.0
359,2022,17,1,52.0,12.0,4.0,0,0,1200.0
