,Year,District,Province,Spare,Length,Width,Amenities,Direction,Price
158,2022,4,1,73.0,10.5,7.0,0,0,4.56
159,2022,19,1,48.0,12.0,4.0,0,0,6.1
160,2022,17,1,64.0,12.0,5.5,0,0,1.35
161,2022,17,1,64.0,12.0,5.5,0,0,1.35
162,2022,20,1,68.0,16.0,4.1,0,0,6.7
163,2022,3,1,73.0,18.25,4.0,0,0,6.8
164,2022,282,1,132.0,22.0,6.0,1,0,0.9
165,2022,17,1,104.0,5.0,21.0,1,2,7.25
166,2022,16,1,71.0,14.0,4.5,0,0,1.1
167,2022,20,1,96.0,17.0,5.6,0,0,11.6
168,2022,17,1,86.0,14.0,5.0,0,0,4.0
169,2022,17,1,70.0,14.0,5.0,0,0,2.0
170,2022,17,1,48.0,13.0,4.0,0,0,1.0
171,2022,250,1,81.0,18.0,4.5,0,2,6.4
172,2022,3,1,56.0,14.0,4.0,0,0,5.9
173,2022,268,1,50.0,12.5,4.0,0,0,6.5
174,2022,21,1,38.0,10.0,3.8,0,0,3.4
175,2022,276,1,112.0,22.0,5.0,0,0,5.6
176,2022,276,1,123.0,22.0,5.0,0,0,3.9
177,2022,276,1,123.0,22.0,5.0,0,0,3.9
178,2022,18,1,50.0,10.0,5.0,0,0,2.45
179,2022,17,1,51.0,13.0,4.0,0,0,1.9
180,2022,18,1,80.0,10.0,8.0,0,0,4.28
181,2022,1,1,105.0,21.0,5.0,0,0,1.4
182,2022,17,1,112.0,21.0,5.0,0,0,3.36
183,2022,3,1,59.0,13.2,4.5,0,0,5.3
184,2022,17,1,55.0,11.0,5.0,0,0,3.0
185,2022,17,1,43.0,10.0,4.2,0,0,2.1
186,2022,17,1,76.0,15.0,5.0,0,0,4.0
187,2022,4,1,248.0,21.0,12.0,0,0,22.0
188,2022,5,1,132.0,22.0,6.0,1,2,0.9
189,2022,250,1,80.0,16.0,5.0,0,2,1.48
190,2022,20,1,66.0,16.5,4.0,0,0,1.98
191,2022,250,1,58.0,14.0,4.0,0,0,1.45
192,2022,268,1,40.0,11.0,3.6,0,0,3.25
193,2022,18,1,45.0,9.0,5.0,0,0,2.32
194,2022,18,1,43.0,8.6,5.0,0,0,1.75
195,2022,277,1,60.0,12.0,5.0,1,0,0.82
196,2022,4,1,43.0,11.0,4.0,0,0,2.8
197,2022,4,1,52.0,12.4,4.2,0,0,8.5
198,2022,282,1,500.0,50.0,10.0,0,0,4.0
199,2022,21,1,54.0,16.0,3.0,1,0,2.16
200,2022,271,1,727.0,30.0,24.0,1,0,3.3
201,2022,1,1,40.0,10.0,4.0,1,0,5.3
202,2022,4,1,50.0,10.0,5.0,1,0,5.5
203,2022,17,1,39.0,10.0,4.0,0,0,1.7
204,2022,9,1,46.0,12.0,4.2,0,0,5.2
205,2022,274,1,90.0,18.0,4.99,1,2,7.0
206,2022,17,1,61.0,15.0,4.0,0,0,2.3
207,2022,4,1,94.0,18.4,5.1,0,0,6.0
208,2022,1,1,125.0,28.0,4.5,0,0,21.0
209,2022,17,1,114.0,5.7,20.0,0,0,3.95
210,2022,4,1,140.0,19.178082191780824,7.3,0,0,7.1
211,2022,17,1,42.0,10.0,4.0,0,0,1.41
212,2022,282,1,132.0,6.0,22.0,0,0,0.9
213,2022,20,1,43.0,9.347826086956523,4.6,0,0,3.05
214,2022,20,1,62.0,15.0,41.0,0,0,6.7
215,2022,250,1,153.0,16.0,10.0,0,4,2.91
216,2022,17,1,41.0,10.25,4.0,0,0,2.4
217,2022,4,1,39.0,8.478260869565219,4.6,1,0,2.52
218,2022,18,1,55.0,12.222222222222221,4.5,1,0,3.93
219,2022,16,1,70.0,14.0,5.0,0,0,1.7
220,2022,250,1,132.0,6.0,22.0,1,0,0.9
221,2022,275,1,2658.0,80.0,25.0,0,0,14.62
222,2022,276,1,136.0,28.0,5.0,0,0,2.0
223,2022,20,1,45.0,9.2,4.8,0,0,2.9
224,2022,274,1,300.0,60.0,5.0,0,0,5.2
225,2022,275,1,316.0,33.0,10.0,0,0,2.2
226,2022,18,1,35.0,7.0,5.0,0,0,1.9
227,2022,276,1,90.0,18.0,5.0,0,0,2.1
228,2022,276,1,283.0,28.0,10.0,0,0,5.8
229,2022,276,1,90.0,18.0,5.0,0,0,2.1
230,2022,276,1,283.0,28.0,10.0,0,0,5.8
231,2022,250,1,100.0,20.0,5.0,0,0,3.4
232,2022,5,1,60.0,15.0,4.0,0,0,13.25
233,2022,8,1,133.2,26.639999999999997,5.0,1,0,6.27
234,2022,276,1,114.0,21.0,5.0,0,0,1.99
235,2022,276,1,147.0,22.0,6.0,0,0,3.5
236,2022,276,1,147.0,22.0,6.0,0,0,3.5
237,2022,17,1,54.0,14.0,4.0,0,0,2.08
238,2022,17,1,59.0,15.0,4.0,0,0,2.25
239,2022,276,1,86.0,12.0,7.0,1,0,1.72
240,2022,250,1,100.0,20.0,5.0,0,0,3.4
241,2022,17,1,60.0,16.666666666666668,3.6,1,4,1.86
242,2022,269,1,60.0,12.0,5.0,1,0,0.93
243,2022,4,1,73.0,18.0,4.0,1,0,1.75
244,2022,276,1,828.0,25.0,40.0,1,0,3.48
245,2022,21,1,38.5,4.0,9.92,1,2,2.5
246,2022,5,1,79.0,15.8,5.0,0,0,17.0
247,2022,276,1,200.0,25.0,8.0,0,0,5.9
248,2022,16,1,58.0,14.0,4.0,0,0,0.67
249,2022,20,1,46.0,11.0,4.0,0,0,3.15
250,2022,276,1,156.0,20.0,8.0,0,0,4.3
251,2022,1,1,88.0,17.6,5.0,0,0,25.0
252,2022,16,1,65.0,13.0,5.0,0,0,1.18
253,2022,274,1,30.6,4.0,7.6,1,4,1.3
254,2022,276,1,200.0,25.0,8.0,0,0,5.9
255,2022,276,1,390.0,45.0,8.95,1,0,5.38
256,2022,276,1,390.0,46.0,10.0,1,0,5.38
257,2022,17,1,69.0,16.0,4.2,0,0,1.93
258,2022,18,1,102.0,20.4,5.0,0,0,4.38
259,2022,5,1,270.0,13.5,20.0,0,0,14.65
260,2022,5,1,270.0,13.5,20.0,0,0,14.65
261,2022,276,1,90.0,16.0,5.0,0,0,2.1
262,2022,17,1,190.0,17.0,11.0,0,0,9.69
263,2022,17,1,168.0,12.0,14.0,0,0,5.0
264,2022,17,1,60.0,12.0,5.0,0,0,2.5
265,2022,17,1,55.0,12.0,4.5,0,0,1.95
266,2022,16,1,65.0,13.0,5.0,0,0,1.03
267,2022,17,1,35.0,11.0,4.0,0,0,1.8
268,2022,17,1,46.0,11.0,4.0,0,0,1.4
269,2022,17,1,40.0,10.0,4.0,0,0,1.6
270,2022,17,1,74.0,15.0,5.0,0,0,2.59
271,2022,5,1,250.0,25.0,10.0,0,0,0.2
272,2022,274,1,250.0,50.0,5.0,0,0,12.25
273,2022,17,1,42.0,8.4,5.0,1,2,1.83
274,2022,17,1,83.0,20.77,4.0,1,3,3.4
275,2022,17,1,71.0,19.5,3.7,1,3,2.25
276,2022,16,1,500.0,30.0,20.0,0,0,1.7
277,2022,17,1,100.0,20.0,5.0,0,0,2.29
278,2022,16,1,100.0,20.0,5.0,0,0,4.1
279,2022,274,1,425.0,85.0,5.0,0,0,14.2
280,2022,17,1,86.0,16.0,5.22,0,0,4.7
281,2022,276,1,180.0,30.0,6.0,0,0,6.66
282,2022,277,1,60.0,12.0,5.0,1,0,0.82
283,2022,17,1,56.0,8.6,6.32,0,0,1.75
284,2022,17,1,42.0,7.9,5.35,0,0,1.9
285,2022,8,1,104.0,20.8,5.0,0,0,1.39
286,2022,277,1,367.0,73.4,5.0,0,0,2.2
287,2022,282,1,500.0,50.0,10.0,0,0,4.0
288,2022,21,1,54.0,16.0,3.0,1,0,2.16
289,2022,271,1,727.0,30.0,24.0,1,0,3.3
290,2022,4,1,175.0,28.2,6.2,0,0,19.6
291,2022,1,1,40.0,10.0,4.0,1,0,5.3
292,2022,18,1,40.0,8.0,5.0,1,0,3.1
293,2022,282,1,132.0,22.0,6.0,1,0,0.9
294,2022,17,1,86.0,16.0,5.22,0,0,4.7
295,2022,17,1,168.0,14.0,12.0,1,2,5.7
296,2022,274,1,250.0,50.0,5.0,0,0,14.22
297,2022,276,1,1342.0,44.0,22.0,1,0,6.71
298,2022,6,1,35.0,5.0,7.0,0,0,7.0
299,2022,17,1,72.0,16.0,5.0,0,0,3.44
300,2022,16,1,72.0,16.0,4.5,0,0,1.3
301,2022,274,1,222.0,44.4,5.0,0,0,7.85
302,2022,274,1,222.0,44.4,5.0,0,0,0.785
303,2022,9,1,70.0,17.0,4.0,0,0,4.2
304,2022,268,1,102.0,17.0,6.0,0,0,2.58
305,2022,4,1,65.0,16.3,4.0,0,0,5.0
306,2022,17,1,43.0,10.8,4.0,1,3,1.47
307,2022,9,1,48.0,9.3,5.0,0,0,4.85
308,2022,1,1,197.0,24.0,8.0,0,0,31.0
309,2022,268,1,60.0,12.0,5.0,0,0,5.8
310,2022,1,1,328.0,32.8,10.0,0,0,3.94
